"CURCODIGO";"INSCODIGO";"CURDESCRIPCION";"CUROBSERVACION";"CURORDEN";"CURSIGLA";"CURESTADO"
"1";"1";"PRIMERO";;"3";"1ERO";"0"
"2";"1";"SEGUNDO";;"4";"2DO";"0"
"3";"1";"TERCERO";;"5";"3RO";"0"
"4";"1";"CUARTO";;"6";"4TO";"0"
"5";"1";"QUINTO";;"7";"5TO";"0"
"6";"1";"SEXTO";;"8";"6TO";"0"
"7";"1";"SEPTIMO";;"9";"7MO";"0"
"8";"1";"INICIAL-1";;"1";"I-1";"0"
"9";"1";"INICIAL-2";;"2";"I-2";"1"
"10";"1";"OCTAVO";;"10";"8VO";"1"
"11";"1";"NOVENO";;"11";"9NO";"1"
"12";"1";"DECIMO";;"12";"10MO";"1"
"13";"1";"PRIMERO";;"13";"1RO-B";"1"
"14";"1";"SEGUNDO";;"14";"2DO-B";"1"
"15";"1";"TERCERO";;"15";"3ERO-B";"1"
