"DCMTCODIGO";"INDOCODIGO";"MATCODIGO";"FAMCODIGO";"DCMTESTADO";"ANOCODIGO"
"1";"1";"3";"10";"1";"1"
"2";"1";"4";"10";"1";"1"
"3";"1";"6";"10";"1";"1"
"4";"16";"17";"5";"1";"1"
"5";"16";"18";"5";"1";"1"
"6";"16";"19";"5";"1";"1"
"7";"16";"20";"5";"1";"1"
"8";"16";"77";"5";"1";"1"
"9";"16";"83";"5";"1";"1"
"10";"16";"89";"5";"1";"1"
"11";"16";"22";"5";"1";"1"
"12";"66";"7";"4";"1";"1"
"13";"66";"8";"4";"1";"1"
"14";"66";"9";"4";"1";"1"
"15";"66";"10";"4";"1";"1"
"16";"66";"11";"4";"1";"1"
"17";"66";"12";"4";"1";"1"
"18";"66";"14";"4";"1";"1"
"19";"66";"76";"4";"1";"1"
"20";"66";"82";"4";"1";"1"
"21";"66";"88";"4";"1";"1"
"22";"91";"7";"4";"1";"1"
"23";"91";"8";"4";"1";"1"
"24";"91";"9";"4";"1";"1"
"25";"91";"10";"4";"1";"1"
"26";"91";"11";"4";"1";"1"
"27";"91";"12";"4";"1";"1"
"28";"91";"14";"4";"1";"1"
"29";"91";"76";"4";"1";"1"
"30";"91";"82";"4";"1";"1"
"31";"91";"88";"4";"1";"1"
"32";"16";"21";"5";"1";"1"
"33";"16";"24";"5";"1";"1"
"34";"26";"17";"5";"1";"1"
"35";"26";"18";"5";"1";"1"
"36";"26";"19";"5";"1";"1"
"37";"26";"20";"5";"1";"1"
"38";"26";"21";"5";"1";"1"
"39";"26";"22";"5";"1";"1"
"40";"26";"24";"5";"1";"1"
"41";"26";"77";"5";"1";"1"
"42";"26";"83";"5";"1";"1"
"43";"26";"89";"5";"1";"1"
"44";"68";"17";"5";"1";"1"
"45";"68";"18";"5";"1";"1"
"46";"68";"19";"5";"1";"1"
"47";"68";"20";"5";"1";"1"
"48";"68";"21";"5";"1";"1"
"49";"68";"22";"5";"1";"1"
"50";"68";"24";"5";"1";"1"
"51";"68";"77";"5";"1";"1"
"52";"68";"83";"5";"1";"1"
"53";"68";"89";"5";"1";"1"
"54";"63";"28";"6";"1";"1"
"55";"63";"31";"6";"1";"1"
"56";"63";"38";"7";"1";"1"
"57";"63";"41";"7";"1";"1"
"58";"63";"90";"6";"1";"1"
"59";"63";"78";"6";"1";"1"
"60";"63";"84";"6";"1";"1"
"61";"54";"16";"4";"1";"1"
"62";"54";"26";"5";"1";"1"
"63";"54";"36";"6";"1";"1"
"64";"54";"78";"6";"1";"1"
"65";"54";"84";"6";"1";"1"
"66";"54";"90";"6";"1";"1"
"67";"54";"46";"7";"1";"1"
"68";"6";"30";"6";"1";"1"
"69";"6";"40";"7";"1";"1"
"70";"6";"79";"7";"1";"1"
"71";"6";"85";"7";"1";"1"
"72";"6";"91";"7";"1";"1"
"73";"6";"50";"8";"1";"1"
"74";"6";"60";"9";"1";"1"
"75";"14";"29";"6";"1";"1"
"76";"14";"39";"7";"1";"1"
"77";"14";"79";"7";"1";"1"
"78";"14";"85";"7";"1";"1"
"79";"14";"91";"7";"1";"1"
"80";"14";"68";"10";"1";"1"
"81";"14";"49";"8";"1";"1"
"82";"14";"59";"9";"1";"1"
"83";"108";"48";"8";"1";"1"
"84";"108";"51";"8";"1";"1"
"85";"108";"80";"8";"1";"1"
"86";"108";"86";"8";"1";"1"
"87";"108";"92";"8";"1";"1"
"88";"108";"58";"9";"1";"1"
"89";"108";"61";"9";"1";"1"
"90";"15";"47";"8";"1";"1"
"91";"15";"80";"8";"1";"1"
"92";"15";"86";"8";"1";"1"
"93";"15";"92";"8";"1";"1"
"94";"15";"57";"9";"1";"1"
"95";"15";"2";"10";"1";"1"
"96";"27";"15";"4";"1";"1"
"97";"27";"25";"5";"1";"1"
"98";"27";"35";"6";"1";"1"
"99";"27";"45";"7";"1";"1"
"100";"27";"55";"8";"1";"1"
"101";"27";"65";"9";"1";"1"
"102";"27";"81";"9";"1";"1"
"103";"27";"87";"9";"1";"1"
"104";"27";"93";"9";"1";"1"
"105";"23";"53";"8";"1";"1"
"106";"23";"63";"9";"1";"1"
"107";"23";"81";"9";"1";"1"
"108";"23";"87";"9";"1";"1"
"109";"23";"93";"9";"1";"1"
"110";"23";"69";"10";"1";"1"
"111";"8";"56";"8";"1";"1"
"112";"8";"66";"9";"1";"1"
"113";"8";"4";"10";"1";"1"
"114";"8";"5";"10";"1";"1"
"115";"8";"6";"10";"1";"1"
"116";"8";"73";"10";"1";"1"
"117";"8";"101";"11";"1";"1"
"118";"83";"34";"6";"1";"1"
"119";"83";"44";"7";"1";"1"
"120";"83";"54";"8";"1";"1"
"121";"83";"64";"9";"1";"1"
"122";"83";"74";"10";"1";"1"
"123";"83";"102";"11";"1";"1"
"124";"38";"32";"6";"1";"1"
"125";"38";"42";"7";"1";"1"
"126";"38";"52";"8";"1";"1"
"127";"38";"62";"9";"1";"1"
"128";"38";"72";"10";"1";"1"
"129";"38";"100";"11";"1";"1"
"130";"21";"13";"4";"1";"1"
"131";"43";"27";"6";"1";"1"
"132";"43";"37";"7";"1";"1"
"133";"43";"47";"8";"1";"1"
"134";"5";"23";"5";"1";"1"
"135";"5";"33";"6";"1";"1"
"136";"5";"43";"7";"1";"1"
"137";"5";"53";"8";"1";"1"
"138";"42";"8";"4";"1";"1"
"139";"42";"9";"4";"1";"1"
"140";"42";"10";"4";"1";"1"
"141";"42";"11";"4";"1";"1"
"142";"42";"12";"4";"1";"1"
"143";"42";"14";"4";"1";"1"
"144";"42";"76";"4";"1";"1"
"145";"42";"82";"4";"1";"1"
"146";"42";"88";"4";"1";"1"
"147";"42";"7";"4";"1";"1"
"148";"37";"7";"4";"1";"1"
"149";"37";"8";"4";"1";"1"
"150";"37";"9";"4";"1";"1"
"151";"37";"10";"4";"1";"1"
"152";"37";"11";"4";"1";"1"
"153";"37";"12";"4";"1";"1"
"154";"37";"14";"4";"1";"1"
"155";"37";"76";"4";"1";"1"
"156";"37";"82";"4";"1";"1"
"157";"37";"88";"4";"1";"1"
"158";"56";"17";"5";"1";"1"
"159";"56";"18";"5";"1";"1"
"160";"56";"19";"5";"1";"1"
"161";"56";"20";"5";"1";"1"
"162";"56";"21";"5";"1";"1"
"163";"56";"22";"5";"1";"1"
"164";"56";"24";"5";"1";"1"
"165";"56";"77";"5";"1";"1"
"166";"56";"83";"5";"1";"1"
"167";"56";"89";"5";"1";"1"
"168";"97";"17";"5";"1";"1"
"169";"97";"18";"5";"1";"1"
"170";"97";"19";"5";"1";"1"
"171";"97";"20";"5";"1";"1"
"172";"97";"21";"5";"1";"1"
"173";"97";"22";"5";"1";"1"
"174";"97";"24";"5";"1";"1"
"175";"97";"77";"5";"1";"1"
"176";"97";"83";"5";"1";"1"
"177";"97";"89";"5";"1";"1"
"178";"57";"27";"6";"1";"1"
"179";"57";"37";"7";"1";"1"
"180";"57";"47";"8";"1";"1"
"181";"57";"78";"6";"1";"1"
"182";"57";"84";"6";"1";"1"
"183";"57";"90";"6";"1";"1"
"184";"10";"28";"6";"1";"1"
"185";"10";"78";"6";"1";"1"
"186";"10";"84";"6";"1";"1"
"187";"10";"90";"6";"1";"1"
"188";"10";"31";"6";"1";"1"
"189";"10";"38";"7";"1";"1"
"190";"10";"41";"7";"1";"1"
"191";"31";"29";"6";"1";"1"
"192";"31";"39";"7";"1";"1"
"193";"31";"79";"7";"1";"1"
"194";"31";"85";"7";"1";"1"
"195";"31";"91";"7";"1";"1"
"196";"31";"49";"8";"1";"1"
"197";"31";"59";"9";"1";"1"
"198";"31";"68";"10";"1";"1"
"199";"34";"30";"6";"1";"1"
"200";"34";"40";"7";"1";"1"
"201";"34";"79";"7";"1";"1"
"202";"34";"85";"7";"1";"1"
"203";"34";"91";"7";"1";"1"
"204";"34";"50";"8";"1";"1"
"205";"34";"60";"9";"1";"1"
"206";"36";"23";"5";"1";"1"
"207";"36";"33";"6";"1";"1"
"208";"36";"43";"7";"1";"1"
"209";"36";"53";"8";"1";"1"
"210";"36";"80";"8";"1";"1"
"211";"36";"86";"8";"1";"1"
"212";"36";"92";"8";"1";"1"
"213";"107";"80";"8";"1";"1"
"214";"107";"86";"8";"1";"1"
"215";"107";"92";"8";"1";"1"
"216";"100";"48";"8";"1";"1"
"217";"100";"51";"8";"1";"1"
"218";"100";"58";"9";"1";"1"
"219";"100";"61";"9";"1";"1"
"220";"100";"81";"9";"1";"1"
"221";"100";"87";"9";"1";"1"
"222";"100";"93";"9";"1";"1"
"223";"32";"47";"8";"1";"1"
"224";"32";"57";"9";"1";"1"
"225";"32";"81";"9";"1";"1"
"226";"32";"87";"9";"1";"1"
"227";"32";"93";"9";"1";"1"
"228";"32";"2";"10";"1";"1"
"229";"87";"13";"4";"1";"1"
"230";"61";"53";"8";"1";"1"
"231";"61";"63";"9";"1";"1"
"232";"18";"32";"6";"1";"1"
"233";"18";"42";"7";"1";"1"
"234";"18";"52";"8";"1";"1"
"235";"18";"62";"9";"1";"1"
"236";"18";"100";"11";"1";"1"
"237";"81";"16";"4";"1";"1"
"238";"81";"26";"5";"1";"1"
"239";"81";"36";"6";"1";"1"
"240";"81";"46";"7";"1";"1"
"241";"81";"56";"8";"1";"1"
"242";"41";"56";"8";"1";"1"
"243";"41";"66";"9";"1";"1"
"244";"28";"60";"9";"1";"1"
"245";"55";"15";"4";"1";"1"
"246";"55";"25";"5";"1";"1"
"247";"55";"35";"6";"1";"1"
"248";"55";"45";"7";"1";"1"
"249";"55";"55";"8";"1";"1"
"250";"55";"65";"9";"1";"1"
"251";"65";"34";"6";"1";"1"
"252";"65";"44";"7";"1";"1"
"253";"65";"54";"8";"1";"1"
"254";"65";"64";"9";"1";"1"
"255";"3";"70";"10";"1";"1"
"256";"3";"98";"11";"1";"1"
"257";"3";"111";"12";"1";"1"
"258";"3";"132";"13";"0";"1"
"259";"3";"128";"13";"1";"1"
"260";"3";"176";"16";"1";"1"
"261";"3";"212";"18";"1";"1"
"262";"110";"3";"10";"1";"1"
"263";"110";"94";"11";"1";"1"
"264";"18";"72";"10";"1";"1"
"265";"19";"120";"13";"1";"1"
