"FAMCODIGO";"INSCODIGO";"FAMNOMBRE";"FAMNOCREDITO";"FAMESTADO";"FANSIGLAS"
"1";"0";"INICIAL-1";"0";"1";NULL
"2";"0";"INICIAL-2";"0";"1";NULL
"3";"0";"PRIMERO";"0";"1";NULL
"4";"0";"SEGUNDO";"0";"1";NULL
"5";"0";"TERCERO";"0";"1";NULL
"6";"0";"CUARTO";"0";"1";NULL
"7";"0";"QUINTO";"0";"1";NULL
"8";"0";"SEXTO";"0";"1";NULL
"9";"0";"SEPTIMO";"0";"1";NULL
"10";"0";"OCTAVO";"0";"1";NULL
"11";"0";"NOVENO";"0";"1";NULL
"12";"0";"DECIMO";"0";"1";NULL
"13";"0";"PRIMERO-B";"0";"1";NULL
"14";"0";"SEGUNDO-B";"0";"1";NULL
"15";"0";"TERCERO-B";"0";"1";NULL
"16";"0";"PRIMERO-BT";"0";"1";NULL
"17";"0";"SEGUNDO-BT";"0";"1";NULL
"18";"0";"TERCERO-BT";"0";"1";NULL
