"GMCODIGO";"MATCODIGO";"GRUCODIGO";"GMESTADO";"GMPLANTILLA"
"1";"5";"25";"1";NULL
"2";"6";"25";"1";NULL
"3";"2";"25";"1";NULL
"4";"3";"25";"1";NULL
"5";"4";"25";"1";NULL
"6";"77";"29";"1";NULL
"7";"20";"29";"1";NULL
"8";"83";"29";"1";NULL
"9";"25";"29";"1";NULL
"10";"21";"29";"1";NULL
"11";"22";"29";"1";NULL
"12";"19";"29";"1";NULL
"13";"23";"29";"1";NULL
"14";"17";"29";"1";NULL
"15";"18";"29";"1";NULL
"16";"24";"29";"1";NULL
"17";"26";"29";"1";NULL
"18";"89";"29";"1";NULL
"19";"76";"28";"1";NULL
"20";"10";"28";"1";NULL
"21";"82";"28";"1";NULL
"22";"15";"28";"1";NULL
"23";"11";"28";"1";NULL
"24";"12";"28";"1";NULL
"25";"9";"28";"1";NULL
"26";"13";"28";"1";NULL
"27";"7";"28";"1";NULL
"28";"8";"28";"1";NULL
"29";"14";"28";"1";NULL
"30";"16";"28";"1";NULL
"31";"88";"28";"1";NULL
"32";"76";"31";"1";NULL
"33";"10";"31";"1";NULL
"34";"82";"31";"1";NULL
"35";"15";"31";"1";NULL
"36";"11";"31";"1";NULL
"37";"12";"31";"1";NULL
"38";"9";"31";"1";NULL
"39";"13";"31";"1";NULL
"40";"7";"31";"1";NULL
"41";"8";"31";"1";NULL
"42";"14";"31";"1";NULL
"43";"16";"31";"1";NULL
"44";"88";"31";"1";NULL
"45";"77";"32";"1";NULL
"46";"20";"32";"1";NULL
"47";"83";"32";"1";NULL
"48";"25";"32";"1";NULL
"49";"21";"32";"1";NULL
"50";"22";"32";"1";NULL
"51";"19";"32";"1";NULL
"52";"23";"32";"1";NULL
"53";"17";"32";"1";NULL
"54";"18";"32";"1";NULL
"55";"24";"32";"1";NULL
"56";"26";"32";"1";NULL
"57";"89";"32";"1";NULL
"58";"78";"30";"1";NULL
"59";"30";"30";"1";NULL
"60";"84";"30";"1";NULL
"61";"35";"30";"1";NULL
"62";"31";"30";"1";NULL
"63";"32";"30";"1";NULL
"64";"29";"30";"1";NULL
"65";"33";"30";"1";NULL
"66";"27";"30";"1";NULL
"67";"28";"30";"1";NULL
"68";"34";"30";"1";NULL
"69";"36";"30";"1";NULL
"70";"90";"30";"1";NULL
"71";"78";"33";"1";NULL
"72";"30";"33";"1";NULL
"73";"84";"33";"1";NULL
"74";"35";"33";"1";NULL
"75";"31";"33";"1";NULL
"76";"32";"33";"1";NULL
"77";"29";"33";"1";NULL
"78";"33";"33";"1";NULL
