"GRUCODIGO";"PARCODIGO"
"1";"1"
"1";"2"
"2";"1"
"2";"2"
"3";"1"
"3";"2"
"3";"3"
"4";"1"
"4";"2"
"8";"1"
"8";"2"
"15";"1"
"15";"2"
"16";"1"
"16";"2"
"17";"1"
"17";"2"
"18";"1"
"18";"2"
"19";"1"
"19";"2"
"19";"3"
"19";"4"
"20";"1"
"20";"2"
"20";"3"
"21";"1"
"21";"2"
"23";"1"
"24";"1"
"25";"1"
"25";"2"
"25";"3"
"25";"4"
"26";"1"
"26";"2"
"26";"3"
"26";"4"
"27";"1"
"27";"2"
"27";"3"
"27";"4"
"28";"1"
"28";"2"
"29";"1"
"29";"2"
"29";"3"
"30";"1"
"30";"2"
"31";"1"
"31";"2"
"32";"1"
"32";"2"
"33";"1"
"33";"2"
"34";"1"
"34";"2"
"35";"1"
"35";"2"
"36";"1"
"36";"2"
"37";"1"
"37";"2"
"38";"1"
"38";"2"
"39";"1"
"39";"2"
"40";"1"
"40";"2"
"41";"1"
"41";"2"
"41";"3"
"42";"1"
"42";"2"
"42";"3"
"42";"4"
"43";"1"
"43";"2"
"43";"3"
"44";"1"
"44";"2"
"44";"3"
"45";"1"
"45";"2"
"46";"1"
"47";"1"
