"MATCODIGO";"FAMCODIGO";"MATID";"MATDESCRIPCION";"MATOBSERVACION";"MATNOCREDITO";"MATNOCONSECUTIVO";"MATESTADO";"MATTIPO"
"1";"3";"EOYE";"EXPRESION ORAL Y ESCRITA";;"0";"1";"1";"2"
"2";"10";"LYL8";"LENGUA Y LITERATURA";;"0";"1";"1";"1"
"3";"10";"M8";"MATEMATICAS";;"0";"2";"1";"1"
"4";"10";"T8-M";"TUTOR";;"0";"15";"1";"5"
"5";"10";"A8";"ASISTENCIA";;"0";"14";"1";"4"
"6";"10";"C8";"COMPORTAMIENTO";;"0";"13";"1";"3"
"7";"4";"LYL2";"LENGUA Y LITERATURA";;"10";"1";"1";"1"
"8";"4";"MAT2";"MATEMATICA";;"8";"2";"1";"1"
"9";"4";"EESS2";"ESTUDIOS SOCIALES";;"2";"3";"1";"1"
"10";"4";"CCNN2";"CIENCIAS NATURALES";;"3";"4";"1";"1"
"11";"4";"ECA2";"EDUCACION CULTURAL Y ARTISTICA";;"2";"5";"1";"1"
"12";"4";"EF2";"EDUCACION FISICA";;"5";"6";"1";"1"
"13";"4";"ING2";"INGLES";;"3";"7";"1";"1"
"14";"4";"PE2";"PROYECTOS ESCOLARES";;"2";"8";"1";"2"
"15";"4";"COMP2";"COMPUTACION";;"0";"9";"1";"1"
"16";"4";"REL2";"RELIGION";;"0";"10";"1";"1"
"17";"5";"LYL3";"LENGUA Y LITERATURA";;"10";"1";"1";"1"
"18";"5";"MAT3";"MATEMATICA";;"8";"2";"1";"1"
"19";"5";"EESS3";"ESTUDIOS SOCIALES";;"2";"3";"1";"1"
"20";"5";"CCNN3";"CIENCIAS NATURALES";;"3";"4";"1";"1"
"21";"5";"ECA3";"EDUCACION CULTURAL Y ARTISTICA";;"2";"5";"1";"1"
"22";"5";"EF3";"EDUCACION FISICA";;"5";"6";"1";"1"
"23";"5";"ING3";"INGLES";;"3";"7";"1";"1"
"24";"5";"PE3";"PROYECTOS ESCOLARES";;"2";"8";"1";"2"
"25";"5";"COMP3";"COMPUTACION";;"0";"9";"1";"1"
"26";"5";"REL3";"RELIGION";;"0";"10";"1";"1"
"27";"6";"LYL4";"LENGUA Y LITERATURA";;"10";"1";"1";"1"
"28";"6";"MAT4";"MATEMATICA";;"8";"2";"1";"1"
"29";"6";"EESS4";"ESTUDIOS SOCIALES";;"2";"3";"1";"1"
"30";"6";"CCNN4";"CIENCIAS NATURALES";;"3";"4";"1";"1"
"31";"6";"ECA4";"EDUCACION CULTURAL Y ARTISTICA";;"2";"5";"1";"1"
"32";"6";"EF4";"EDUCACION FISICA";;"5";"6";"1";"1"
"33";"6";"ING4";"INGLES";;"3";"8";"1";"1"
"34";"6";"PE4";"PROYECTOS ESCOLARES";;"2";"8";"1";"2"
"35";"6";"COMP4";"COMPUTACION";;"0";"9";"1";"1"
