"CRDTPRCODIGO";"DTPRCODIGO";"PRCCODIGO";"DTQMCODIGO";"USUCODIGOACT";"USUCODIGOMOD";"DTPRTAREAS";"DTPRACTINDIV";"DTPRACTGRUPAL";"DTPRLECCIONES";"DTPRPRUEBA";"DTPRADICIONAL1";"DTPRADICIONAL2";"DTPRPROMEDIO1";"DTPRREFUERZO";"DTPRPROMEDIO";"MATCODIGO";"MATDESCRIPCION";"MATORDEN";"MATTIPO";"DTPRESTADO";"PRCNOTA1";"PRCNOTA2";"PRCNOTA3";"PRCNOTA4";"PRCNOTA5";"PRCNOTA6";"PRCNOTA7";"PRCNOTA8";"PRCNOTA9";"PRCDESCA1";"PRCDESCA2";"PRCDESC1";"PRCDESC2";"PRCDESC3";"PRCDESC4";"PRCDESC5";"PRCDESC6";"PRCDESC7";"PRCDESC8";"PRCFECHA1";"PRCFECHA2";"PRCFECHA3";"PRCFECHA4";"PRCFECHA5";"PRCFECHA6";"PRCFECHA7";"PRCFECHA8"
"1";"60934";"2";"30460";"112";"112";"8.86";"0";"0";"8.86";"0";"0";"0";"0";"0";"8.86";"63";"INGLES";"7";"1";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";;;;;;;;;;;;;;;;;;
"2";"22732";"2";"22732";"112";"112";"7";"0";"0";"8";"0";"0";"0";"0";"0";"7.5";"97";"INGLES";"5";"1";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";;;;;;;;;;;;;;;;;;
"3";"26087";"2";"26087";"112";"101";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"173";"EDUC. FISICA";"14";"1";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";;;;;;;;;;;"TAREAS";;;;"CUERDA";"HUEVO";"TUBERIA";
"4";"72322";"5";"11314";"3";"3";"10";"10";"0";"10";"9.8";"0";"0";"9.95";"0";"9.95";"7";"LENGUA Y LITERATURA";"1";"1";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";;;;;;;;;;;;;;;;;;
"5";"96681";"7";"35673";"111";"16";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"6";"COMPORTAMIENTO";"11";"3";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";;;;;;;;;;;;;;;;;;
"6";"96694";"7";"35686";"111";"16";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"6";"COMPORTAMIENTO";"11";"3";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";;;;;;;;;;;;;;;;;;
"7";"96707";"7";"35699";"111";"16";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"6";"COMPORTAMIENTO";"11";"3";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";;;;;;;;;;;;;;;;;;
"8";"96720";"7";"35712";"111";"16";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"6";"COMPORTAMIENTO";"11";"3";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";;;;;;;;;;;;;;;;;;
"9";"96733";"7";"35725";"111";"16";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"6";"COMPORTAMIENTO";"11";"3";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";;;;;;;;;;;;;;;;;;
"10";"96746";"7";"35738";"111";"16";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"6";"COMPORTAMIENTO";"11";"3";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";;;;;;;;;;;;;;;;;;
