"CRDTQMCODIGO";"DTQMCODIGO";"USUCODIGO";"USUCODIGOACT";"QUICODIGO";"MTRNO";"MATCODIGO";"QUIPROMPARCIAL";"QUIEQUIVALENCIA80";"QUIEXAMEN";"QUIEQUIVALENCIA20";"QUIPROMQUIMESTRE";"MTRESTADO";"DTQMESTADO"
"1";"24640";"112";"112";"1";"2165";"107";"6.97";"5.58";"7.5";"1.5";"7.08";"1";"1"
"2";"24653";"112";"112";"1";"2166";"107";"6.92";"5.54";"0";"0";"5.54";"1";"1"
"3";"30248";"112";"112";"1";"2328";"211";"8.98";"7.18";"0.01";"0";"7.18";"1";"1"
"4";"30332";"112";"112";"1";"2332";"211";"7.45";"5.96";"0.01";"0";"5.96";"1";"1"
"5";"15352";"112";"112";"1";"950";"25";"8.53";"6.82";"0";"0";"6.82";"1";"1"
"6";"19187";"112";"112";"1";"1022";"45";"8.56";"6.85";"0";"0";"6.85";"1";"1"
"7";"21059";"112";"112";"1";"1166";"65";"9.6";"7.68";"0";"0";"7.68";"1";"1"
"8";"30245";"112";"112";"1";"2328";"208";"8.98";"7.18";"0.01";"0";"7.18";"1";"1"
"9";"30329";"112";"112";"1";"2332";"208";"8.12";"6.5";"0.01";"0";"6.5";"1";"1"
"10";"30246";"112";"112";"1";"2328";"209";"9.33";"7.46";"10";"2";"9.46";"1";"1"
"11";"30330";"112";"112";"1";"2332";"209";"8.49";"6.79";"0.01";"0";"6.79";"1";"1"
"12";"30247";"112";"112";"1";"2328";"210";"9.58";"7.66";"9.5";"1.9";"9.56";"1";"1"
"13";"30331";"112";"112";"1";"2332";"210";"5.84";"4.67";"0.01";"0";"4.67";"1";"1"
"14";"30250";"112";"112";"1";"2328";"213";"9.33";"7.46";"9";"1.8";"9.26";"1";"1"
"15";"30334";"112";"112";"1";"2332";"213";"6.22";"4.98";"0.01";"0";"4.98";"1";"1"
"16";"30251";"112";"112";"1";"2328";"214";"9.14";"7.31";"10";"2";"9.31";"1";"1"
"17";"30335";"112";"112";"1";"2332";"214";"8.83";"7.06";"0.01";"0";"7.06";"1";"1"
"18";"15344";"112";"112";"1";"950";"17";"9.58";"7.66";"0";"0";"7.66";"1";"1"
"19";"15347";"112";"112";"1";"950";"20";"9.41";"7.53";"0";"0";"7.53";"1";"1"
"20";"15351";"112";"112";"1";"950";"24";"0";"0";"0";"0";"0";"1";"1"
"21";"15842";"112";"112";"1";"988";"31";"9.08";"7.26";"8.38";"1.68";"8.94";"1";"1"
"22";"15855";"112";"112";"1";"989";"31";"8.63";"6.9";"7";"1.4";"8.3";"1";"1"
"23";"15868";"112";"112";"1";"990";"31";"8.5";"6.8";"8.25";"1.65";"8.45";"1";"1"
"24";"15881";"112";"112";"1";"991";"31";"8.42";"6.74";"7.25";"1.45";"8.19";"1";"1"
"25";"15894";"112";"112";"1";"992";"31";"8.09";"6.47";"7.5";"1.5";"7.97";"1";"1"
"26";"15907";"112";"112";"1";"993";"31";"8.13";"6.5";"7.63";"1.53";"8.03";"1";"1"
"27";"15920";"112";"112";"1";"994";"31";"9.79";"7.83";"8.13";"1.63";"9.46";"1";"1"
"28";"15933";"112";"112";"1";"995";"31";"8.29";"6.63";"8.63";"1.73";"8.36";"1";"1"
"29";"15946";"112";"112";"1";"996";"31";"8.4";"6.72";"9.63";"1.93";"8.65";"1";"1"
"30";"15959";"112";"112";"1";"997";"31";"9.13";"7.3";"8.5";"1.7";"9";"1";"1"
"31";"15972";"112";"112";"1";"998";"31";"8.46";"6.77";"7.5";"1.5";"8.27";"1";"1"
