"DARCODIGO";"PERCODIGO";"DARFECHAING";"DARINSTPROCED";"DARREPITE";"DARCURREP";"DARASIGPREF";"DARASIGDIFC";"DARDIGNIDAD";"DARLOGROS";"DARPARTIC";"DARCLUBES";"DAREXTRACU";"DAROBSERVACION";"DARPRODISC";"DARPDCAUSA";"DARPROAPROV";"DARPACAUSA";"DARPROASIS";"DARPASCAUSA";"DARCFEXONERA";"DARCFTIEMPO";"DARCFCAUSA"
"1";"1001";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"2";"1002";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"3";"1003";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"4";"1004";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"5";"1005";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"6";"1006";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"7";"1007";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"8";"1008";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"9";"1009";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"10";"1010";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"11";"1011";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"12";"1012";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"13";"1013";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"14";"1014";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"15";"1015";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"16";"1016";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"17";"1017";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"18";"1018";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"19";"1019";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"20";"1020";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"21";"1021";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"22";"1022";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"23";"1023";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"24";"1024";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"25";"1025";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"26";"1026";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"27";"1027";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"28";"1028";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"29";"1029";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"30";"1030";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"31";"1031";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"32";"1032";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"33";"1033";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"34";"1034";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"35";"1035";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"36";"1036";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"37";"1037";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"38";"1038";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"39";"1039";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"40";"1040";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"41";"1041";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"42";"1042";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"43";"1043";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"44";"1044";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"45";"1045";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"46";"1046";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"47";"1047";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"48";"1048";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"49";"1049";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"50";"1050";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"51";"1051";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"52";"1052";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"53";"1053";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"54";"1054";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"55";"1055";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"56";"1056";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"57";"1057";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"58";"1058";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"59";"1059";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"60";"1060";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"61";"1061";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"62";"1062";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"63";"1063";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"64";"1064";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"65";"1065";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"66";"1066";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"67";"1067";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"68";"1068";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"69";"1069";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"70";"1070";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"71";"1071";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"72";"1072";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"73";"1073";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"74";"1074";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"75";"1075";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"76";"1076";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"77";"1077";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"78";"1078";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"79";"1079";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"80";"1080";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"81";"1081";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"82";"1082";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"83";"1083";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"84";"1084";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"85";"1085";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"86";"1086";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"87";"1087";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"88";"1088";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"89";"1089";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"90";"1090";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"91";"1091";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"92";"1092";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"93";"1093";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"94";"1094";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"95";"1095";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"96";"1096";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"97";"1097";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"98";"1098";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"99";"1099";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"100";"1100";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"101";"1101";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"102";"1102";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"103";"1103";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"104";"1104";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"105";"1105";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"106";"1106";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"107";"1107";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"108";"1108";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"109";"1109";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"110";"1110";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"111";"1111";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"112";"1112";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"113";"1113";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"114";"1114";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"115";"1115";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"116";"1116";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"117";"1117";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"118";"1118";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"119";"1119";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"120";"1120";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"121";"1121";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"122";"1122";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"123";"1123";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"124";"1124";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"125";"1125";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"126";"1126";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"127";"1127";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"128";"1128";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"129";"1129";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"130";"1130";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"131";"1131";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"132";"1132";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"133";"1133";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"134";"1134";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"135";"1135";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"136";"1136";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"137";"1137";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"138";"1138";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"139";"1139";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"140";"1140";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"141";"1141";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"142";"1142";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"143";"1143";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"144";"1144";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"145";"1145";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"146";"1146";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"147";"1147";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"148";"1148";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"149";"1149";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"150";"1150";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"151";"1151";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"152";"1152";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"153";"1153";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"154";"1154";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"155";"1155";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"156";"1156";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"157";"1157";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"158";"1158";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"159";"1159";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"160";"1160";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"161";"1161";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"162";"1162";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"163";"1163";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"164";"1164";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"165";"1165";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"166";"1166";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"167";"1167";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"168";"1168";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"169";"1169";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"170";"1170";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"171";"1171";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"172";"1172";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"173";"1173";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"174";"1174";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"175";"1175";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"176";"1176";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"177";"1177";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"178";"1178";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"179";"1179";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"180";"1180";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"181";"1181";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"182";"1182";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"183";"1183";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"184";"1184";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"185";"1185";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"186";"1186";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"187";"1187";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"188";"1188";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"189";"1189";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"190";"1190";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"191";"1191";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"192";"1192";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"193";"1193";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"194";"1194";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"195";"1195";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"196";"1196";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"197";"1197";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"198";"1198";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"199";"1199";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"200";"1200";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"201";"1201";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"202";"1202";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"203";"1203";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"204";"1204";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"205";"1205";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"206";"1206";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"207";"1207";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"208";"1208";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
"209";"1209";"0000-00-00 00:00:00";;;;;;;;;;;;;;;;;;;"0";
