"FAMCODIGO";"INSCODIGO";"FAMNOMBRE";"FAMNOCREDITO";"FAMESTADO";"FANSIGLAS"
"1";"1";"INICIAL-1";"0";"1";NULL
"2";"1";"INICIAL-2";"0";"1";NULL
"3";"1";"PRIMERO";"0";"1";NULL
"4";"1";"SEGUNDO";"0";"1";NULL
"5";"1";"TERCERO";"0";"1";NULL
"6";"1";"CUARTO";"0";"1";NULL
"7";"1";"QUINTO";"0";"1";NULL
"8";"1";"SEXTO";"0";"1";NULL
"9";"1";"SEPTIMO";"0";"1";NULL
"10";"1";"OCTAVO";"0";"1";NULL
"11";"1";"NOVENO";"0";"1";NULL
"12";"1";"DECIMO";"0";"1";NULL
"13";"1";"PRIMERO-B";"0";"1";NULL
"14";"1";"SEGUNDO-B";"0";"1";NULL
"15";"1";"TERCERO-B";"0";"1";NULL
"16";"1";"PRIMERO-BT";"0";"1";NULL
"17";"1";"SEGUNDO-BT";"0";"1";NULL
"18";"1";"TERCERO-BT";"0";"1";NULL
