"GRUCODIGO";"CURCODIGO";"ESPCODIGO";"ANOCODIGO";"GRUNOPARTICIPANTE";"GRUESTADO"
"1";"1";"1";"1";"0";"1"
"60";"13";"6";"2";"0";"1"
"59";"12";"5";"2";"0";"1"
"58";"11";"5";"2";"0";"1"
"57";"10";"5";"2";"0";"1"
"56";"7";"10";"2";"0";"1"
"55";"6";"10";"2";"0";"1"
"8";"1";"2";"1";"0";"1"
"54";"5";"10";"2";"0";"1"
"53";"4";"8";"2";"0";"1"
"52";"3";"8";"2";"0";"1"
"51";"2";"8";"2";"0";"1"
"50";"1";"1";"2";"0";"1"
"49";"9";"3";"2";"0";"1"
"15";"8";"3";"1";"0";"1"
"16";"9";"3";"1";"0";"1"
"17";"8";"4";"1";"0";"1"
"18";"9";"4";"1";"0";"1"
"19";"13";"6";"1";"0";"1"
"20";"14";"6";"1";"0";"1"
"21";"15";"6";"1";"0";"1"
"48";"8";"3";"2";"0";"1"
"23";"14";"7";"1";"0";"1"
"24";"15";"7";"1";"0";"1"
"25";"10";"5";"1";"0";"1"
"26";"11";"5";"1";"0";"1"
"27";"12";"5";"1";"0";"1"
"28";"2";"8";"1";"0";"1"
"29";"3";"8";"1";"0";"1"
"30";"4";"8";"1";"0";"1"
"31";"2";"9";"1";"0";"1"
"32";"3";"9";"1";"0";"1"
"33";"4";"9";"1";"0";"1"
"34";"5";"10";"1";"0";"1"
"35";"6";"10";"1";"0";"1"
"36";"7";"10";"1";"0";"1"
"37";"5";"11";"1";"0";"1"
"38";"6";"11";"1";"0";"1"
"39";"7";"11";"1";"0";"1"
"40";"10";"14";"1";"0";"1"
"41";"11";"14";"1";"0";"1"
"42";"12";"14";"1";"0";"1"
"43";"13";"12";"1";"0";"1"
"44";"14";"12";"1";"0";"1"
"45";"15";"12";"1";"0";"1"
"46";"13";"13";"1";"0";"1"
"47";"15";"13";"1";"0";"1"
"61";"14";"6";"2";"0";"1"
"62";"15";"6";"2";"0";"1"
"63";"15";"7";"2";"0";"1"
"64";"8";"4";"2";"0";"1"
"65";"9";"4";"2";"0";"1"
"66";"1";"2";"2";"0";"1"
"67";"2";"9";"2";"0";"1"
"68";"3";"9";"2";"0";"1"
"69";"4";"9";"2";"0";"1"
"70";"5";"11";"2";"0";"1"
"71";"6";"11";"2";"0";"1"
"72";"7";"11";"2";"0";"1"
"73";"10";"14";"2";"0";"1"
"74";"11";"14";"2";"0";"1"
"75";"12";"14";"2";"0";"1"
"76";"13";"12";"2";"0";"1"
"77";"14";"12";"2";"0";"1"
"78";"15";"12";"2";"0";"1"
"79";"13";"13";"2";"0";"1"
"80";"14";"13";"2";"0";"1"
"81";"15";"3";"2";"0";"0"
