"GRUCODIGO";"PARCODIGO"
"1";"1"
"1";"2"
"2";"1"
"2";"2"
"3";"1"
"3";"2"
"3";"3"
"4";"1"
"4";"2"
"8";"1"
"8";"2"
"15";"1"
"15";"2"
"16";"1"
"16";"2"
"17";"1"
"17";"2"
"18";"1"
"18";"2"
"19";"1"
"19";"2"
"19";"3"
"19";"4"
"20";"1"
"20";"2"
"20";"3"
"21";"1"
"21";"2"
"23";"1"
"24";"1"
"25";"1"
"25";"2"
"25";"3"
"25";"4"
"26";"1"
"26";"2"
"26";"3"
"26";"4"
"27";"1"
"27";"2"
"27";"3"
"27";"4"
"28";"1"
"28";"2"
"29";"1"
"29";"2"
"29";"3"
"30";"1"
"30";"2"
"31";"1"
"31";"2"
"32";"1"
"32";"2"
"33";"1"
"33";"2"
"34";"1"
"34";"2"
"35";"1"
"35";"2"
"36";"1"
"36";"2"
"37";"1"
"37";"2"
"38";"1"
"38";"2"
"39";"1"
"39";"2"
"40";"1"
"40";"2"
"41";"1"
"41";"2"
"41";"3"
"42";"1"
"42";"2"
"42";"3"
"42";"4"
"43";"1"
"43";"2"
"43";"3"
"44";"1"
"44";"2"
"44";"3"
"45";"1"
"45";"2"
"46";"1"
"47";"1"
"48";"1"
"48";"2"
"49";"1"
"49";"2"
"50";"1"
"50";"2"
"51";"1"
"51";"2"
"52";"1"
"52";"2"
"53";"1"
"53";"2"
"53";"3"
"54";"1"
"54";"2"
"55";"1"
"55";"2"
"56";"1"
"56";"2"
"57";"1"
"57";"2"
"57";"3"
"57";"4"
"58";"1"
"58";"2"
"58";"3"
"58";"4"
"59";"1"
"59";"2"
"59";"3"
"59";"4"
"60";"1"
"60";"2"
"60";"3"
"60";"4"
"61";"1"
"61";"2"
"61";"3"
"61";"4"
"62";"1"
"62";"2"
"63";"1"
"64";"1"
"64";"2"
"65";"1"
"65";"2"
"66";"1"
"66";"2"
"67";"1"
"67";"2"
"68";"1"
"68";"2"
"69";"1"
"69";"2"
"70";"1"
"70";"2"
"71";"1"
"71";"2"
"72";"1"
"72";"2"
"73";"1"
"73";"2"
"74";"1"
"74";"2"
"75";"1"
"75";"2"
"75";"3"
"76";"1"
"76";"2"
"76";"3"
"76";"4"
"77";"1"
"77";"2"
"77";"3"
"78";"1"
"78";"2"
"78";"3"
"79";"1"
"80";"1"
