"GMCODIGO";"DCMTCODIGO";"PARCODIGO";"GPMDESTADO";"INDOCODIGO"
"2";"3";"2";"1";"1"
"4";"1";"2";"1";"1"
"5";"2";"2";"1";"1"
"6";"8";"3";"1";"16"
"7";"7";"3";"1";"16"
"8";"9";"3";"1";"16"
"11";"11";"3";"1";"16"
"12";"6";"3";"1";"16"
"14";"4";"3";"1";"16"
"15";"5";"3";"1";"16"
"18";"10";"3";"1";"16"
"19";"19";"1";"1";"66"
"20";"15";"1";"1";"66"
"21";"20";"1";"1";"66"
"23";"16";"1";"1";"66"
"24";"17";"1";"1";"66"
"25";"14";"1";"1";"66"
"27";"12";"1";"1";"66"
"28";"13";"1";"1";"66"
"29";"18";"1";"1";"66"
"31";"21";"1";"1";"66"
"10";"32";"3";"1";"16"
"16";"33";"3";"1";"16"
"19";"29";"2";"1";"91"
"20";"25";"2";"1";"91"
"21";"30";"2";"1";"91"
"23";"26";"2";"1";"91"
"24";"27";"2";"1";"91"
"25";"24";"2";"1";"91"
"27";"22";"2";"1";"91"
"28";"23";"2";"1";"91"
"29";"28";"2";"1";"91"
"31";"31";"2";"1";"91"
"307";"631";"2";"1";"116"
"307";"631";"1";"1";"116"
"395";"630";"4";"1";"116"
"395";"630";"3";"1";"116"
"395";"630";"2";"1";"116"
"395";"630";"1";"1";"116"
"125";"628";"2";"1";"81"
"75";"624";"2";"1";"107"
"75";"624";"1";"1";"107"
"127";"626";"2";"1";"107"
"127";"626";"1";"1";"107"
"49";"623";"2";"1";"107"
"49";"623";"1";"1";"107"
"101";"625";"2";"1";"107"
"101";"625";"1";"1";"107"
"153";"627";"2";"1";"107"
"153";"627";"1";"1";"107"
"36";"622";"2";"1";"107"
"36";"622";"1";"1";"107"
"114";"626";"2";"1";"107"
"88";"57";"1";"1";"63"
"88";"57";"2";"1";"63"
"62";"55";"1";"1";"63"
"62";"55";"2";"1";"63"
"93";"56";"1";"1";"63"
"93";"56";"2";"1";"63"
"67";"54";"1";"1";"63"
"67";"54";"2";"1";"63"
"58";"59";"1";"1";"63"
"60";"60";"1";"1";"63"
"70";"58";"1";"1";"63"
"58";"64";"2";"1";"54"
"60";"65";"2";"1";"54"
"69";"63";"1";"1";"54"
"69";"63";"2";"1";"54"
"30";"61";"1";"1";"54"
"30";"61";"2";"1";"54"
"114";"626";"1";"1";"107"
"140";"627";"2";"1";"107"
"17";"62";"3";"1";"54"
"95";"67";"1";"1";"54"
"95";"67";"2";"1";"54"
"70";"66";"2";"1";"54"
"84";"70";"1";"1";"6"
"59";"68";"1";"1";"6"
"59";"68";"2";"1";"6"
"111";"73";"1";"1";"6"
"111";"73";"2";"1";"6"
