"MTRNO";"INESCODIGO";"GRUCODIGO";"MTRID";"ANOCODIGO";"PARCODIGO";"MTRFOLIO";"MTRFECHA";"MTRFECHAEXT";"MTRESTADO";"MTRFECESTADO"
"1";"1";"15";;"1";"1";"1";"2017-04-17";"lunes 14 de abril de 2017";"1";"2017-05-28"
"2";"2";"15";;"1";"1";"2";"2017-04-17";"lunes 14 de abril de 2017";"1";"2017-05-28"
"3";"3";"15";;"1";"1";"3";"2017-04-17";"lunes 14 de abril de 2017";"1";"2017-05-28"
"4";"4";"15";;"1";"1";"4";"2017-04-17";"lunes 14 de abril de 2017";"1";"2017-05-28"
"5";"5";"15";;"1";"1";"5";"2017-04-17";"lunes 14 de abril de 2017";"1";"2017-05-28"
"6";"6";"15";;"1";"1";"6";"2017-04-17";"lunes 14 de abril de 2017";"1";"2017-05-28"
"7";"7";"15";;"1";"1";"7";"2017-04-17";"lunes 14 de abril de 2017";"1";"2017-05-28"
"8";"8";"15";;"1";"1";"8";"2017-04-17";"lunes 14 de abril de 2017";"1";"2017-05-28"
"9";"9";"15";;"1";"1";"9";"2017-04-17";"lunes 14 de abril de 2017";"1";"2017-05-28"
"10";"10";"15";;"1";"1";"10";"2017-04-17";"lunes 14 de abril de 2017";"1";"2017-05-28"
"11";"11";"15";;"1";"1";"11";"2017-04-17";"lunes 14 de abril de 2017";"1";"2017-05-28"
"12";"12";"15";;"1";"1";"12";"2017-04-17";"lunes 14 de abril de 2017";"1";"2017-05-28"
"13";"13";"15";;"1";"1";"13";"2017-04-17";"lunes 14 de abril de 2017";"1";"2017-05-28"
"14";"14";"15";;"1";"1";"14";"2017-04-17";"lunes 14 de abril de 2017";"1";"2017-05-28"
"15";"15";"15";;"1";"1";"15";"2017-04-17";"lunes 14 de abril de 2017";"1";"2017-05-28"
"16";"16";"15";;"1";"1";"16";"2017-04-17";"lunes 14 de abril de 2017";"1";"2017-05-28"
"17";"17";"15";;"1";"1";"17";"2017-04-17";"lunes 14 de abril de 2017";"1";"2017-05-28"
"18";"18";"15";;"1";"1";"18";"2017-04-17";"lunes 14 de abril de 2017";"1";"2017-05-28"
"19";"19";"15";;"1";"1";"19";"2017-04-17";"lunes 14 de abril de 2017";"1";"2017-05-28"
"20";"20";"15";;"1";"1";"20";"2017-04-17";"lunes 14 de abril de 2017";"1";"2017-05-28"
"21";"21";"15";;"1";"1";"21";"2017-04-17";"lunes 14 de abril de 2017";"1";"2017-05-28"
"22";"22";"15";;"1";"1";"22";"2017-04-17";"lunes 14 de abril de 2017";"1";"2017-05-28"
"23";"23";"15";;"1";"1";"23";"2017-04-17";"lunes 14 de abril de 2017";"1";"2017-05-28"
"24";"24";"15";;"1";"1";"24";"2017-04-17";"lunes 14 de abril de 2017";"1";"2017-05-28"
"25";"25";"15";;"1";"1";"25";"2017-04-17";"lunes 14 de abril de 2017";"1";"2017-05-28"
"26";"26";"15";;"1";"1";"26";"2017-04-17";"lunes 14 de abril de 2017";"1";"2017-05-28"
"27";"27";"15";;"1";"1";"27";"2017-04-17";"lunes 14 de abril de 2017";"1";"2017-05-28"
"28";"28";"15";;"1";"1";"28";"2017-04-17";"lunes 14 de abril de 2017";"1";"2017-05-28"
"29";"29";"15";;"1";"1";"29";"2017-04-17";"lunes 14 de abril de 2017";"1";"2017-05-28"
"30";"30";"15";;"1";"2";"30";"2017-04-17";"lunes 14 de abril de 2017";"1";"2017-05-28"
"31";"31";"15";;"1";"2";"31";"2017-04-17";"lunes 14 de abril de 2017";"1";"2017-05-28"
"32";"32";"15";;"1";"2";"32";"2017-04-17";"lunes 14 de abril de 2017";"1";"2017-05-28"
"33";"33";"15";;"1";"2";"33";"2017-04-17";"lunes 14 de abril de 2017";"1";"2017-05-28"
"34";"34";"15";;"1";"2";"34";"2017-04-17";"lunes 14 de abril de 2017";"1";"2017-05-28"
"35";"35";"15";;"1";"2";"35";"2017-04-17";"lunes 14 de abril de 2017";"1";"2017-05-28"
"36";"36";"15";;"1";"2";"36";"2017-04-17";"lunes 14 de abril de 2017";"1";"2017-05-28"
"37";"37";"15";;"1";"2";"37";"2017-04-17";"lunes 14 de abril de 2017";"1";"2017-05-28"
"38";"38";"15";;"1";"2";"38";"2017-04-17";"lunes 14 de abril de 2017";"1";"2017-05-28"
"39";"39";"15";;"1";"2";"39";"2017-04-17";"lunes 14 de abril de 2017";"1";"2017-05-28"
"40";"40";"15";;"1";"2";"40";"2017-04-17";"lunes 14 de abril de 2017";"1";"2017-05-28"
"41";"41";"15";;"1";"2";"41";"2017-04-17";"lunes 14 de abril de 2017";"1";"2017-05-28"
"42";"42";"15";;"1";"2";"42";"2017-04-17";"lunes 14 de abril de 2017";"1";"2017-05-28"
"43";"43";"15";;"1";"2";"43";"2017-04-17";"lunes 14 de abril de 2017";"1";"2017-05-28"
"44";"44";"15";;"1";"2";"44";"2017-04-17";"lunes 14 de abril de 2017";"1";"2017-05-28"
"45";"45";"15";;"1";"2";"45";"2017-04-17";"lunes 14 de abril de 2017";"1";"2017-05-28"
"46";"46";"15";;"1";"2";"46";"2017-04-17";"lunes 14 de abril de 2017";"1";"2017-05-28"
"47";"47";"15";;"1";"2";"47";"2017-04-17";"lunes 14 de abril de 2017";"1";"2017-05-28"
"48";"48";"15";;"1";"2";"48";"2017-04-17";"lunes 14 de abril de 2017";"1";"2017-05-28"
"49";"49";"15";;"1";"2";"49";"2017-04-17";"lunes 14 de abril de 2017";"1";"2017-05-28"
"50";"50";"15";;"1";"2";"50";"2017-04-17";"lunes 14 de abril de 2017";"1";"2017-05-28"
"51";"51";"15";;"1";"2";"51";"2017-04-17";"lunes 14 de abril de 2017";"1";"2017-05-28"
"52";"52";"15";;"1";"2";"52";"2017-04-17";"lunes 14 de abril de 2017";"1";"2017-05-28"
"53";"53";"15";;"1";"2";"53";"2017-04-17";"lunes 14 de abril de 2017";"1";"2017-05-28"
"54";"54";"15";;"1";"2";"54";"2017-04-17";"lunes 14 de abril de 2017";"1";"2017-05-28"
