"PRCCODIGO";"QUICODIGO";"PRCDESCRIPCION";"PRCORDEN";"PRCFECHAI";"PRCFECHAF";"PRCSECCION";"PRCVERSION";"PRCESTADO"
"1";"1";"PRIMER PARCIAL";"1";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"MATUTINA";"0";"4"
"2";"1";"PRIMER PARCIAL";"1";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"VESPERTINA";"0";"4"
"3";"1";"SEGUNDO PARCIAL";"2";"2017-06-26 00:00:00";"2017-07-25 00:00:00";"MATUTINA";"1";"4"
"4";"1";"SEGUNDO PARCIAL";"2";"2017-06-26 00:00:00";"2017-07-25 00:00:00";"VESPERTINA";"1";"4"
"5";"1";"TERCER PARCIAL";"3";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"MATUTINA";"1";"4"
"6";"1";"TERCER PARCIAL";"3";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"VESPERTINA";"1";"4"
"7";"2";"PRIMER PARCIAL";"1";"2017-10-02 00:00:00";"2017-11-10 00:00:00";"MATUTINA";"1";"4"
"8";"2";"PRIMER PARCIAL";"1";"2017-10-02 00:00:00";"2017-11-10 00:00:00";"VESPERTINA";"1";"4"
"9";"2";"SEGUNDO PARCIAL";"2";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"MATUTINA";"1";"4"
"10";"2";"SEGUNDO PARCIAL";"2";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"VESPERTINA";"1";"4"
"11";"2";"TERCER PARCIAL";"3";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"MATUTINA";"1";"4"
"12";"2";"TERCER PARCIAL";"3";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"VESPERTINA";"1";"4"
"13";"2";;"4";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"NOCTURNA";"0";"4"
"14";"4";"PRIMER PARCIAL";"1";"2018-04-01 00:00:00";"2018-05-30 00:00:00";"MATUTINA";"1";"4"
"15";"5";"PRIMER PARCIAL";"1";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"VESPERTINA";"1";"4"
"16";"4";"SEGUNDO PARCIAL";"2";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"MATUTINA";"1";"4"
"17";"4";"TERCER PARCIAL";"3";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"MATUTINA";"1";"4"
"18";"5";"SEGUNDO PARCIAL";"2";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"VESPERTINA";"1";"4"
"19";"5";"TERCER PARCIAL";"3";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"VESPERTINA";"1";"4"
"20";"6";"PRIMER PARCIAL ";"1";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"MATUTINA";"1";"4"
"21";"6";"SEGUNDO PARCIAL ";"2";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"MATUTINA";"1";"4"
"22";"6";"TERCER PARCIAL ";"3";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"MATUTINA";"1";"4"
"23";"7";"PRIMER PARCIAL";"1";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"VESPERTINA";"1";"4"
"24";"7";"SEGUNDO PARCIAL";"2";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"VESPERTINA";"1";"4"
"25";"7";"TERCER PARCIAL";"3";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"VESPERTINA";"1";"4"
