"PERFCODIGO";"USUCODIGO";"ANOCODIGO"
"1";"1";"1"
"1";"1";"2"
"1";"3";"1"
"1";"4";"1"
"1";"4";"2"
"1";"5";"1"
"1";"5";"2"
"1";"144";"2"
"2";"3";"1"
"2";"3";"2"
"2";"4";"1"
"2";"4";"2"
"2";"5";"1"
"2";"5";"2"
"3";"47";"1"
"3";"47";"2"
"4";"10";"1"
"4";"10";"2"
"4";"11";"1"
"4";"11";"2"
"4";"12";"1"
"4";"12";"2"
"4";"13";"1"
"4";"13";"2"
"4";"14";"1"
"4";"14";"2"
"4";"15";"1"
"4";"16";"1"
"4";"16";"2"
"4";"17";"1"
"4";"17";"2"
"4";"18";"1"
"4";"18";"2"
"4";"19";"1"
"4";"19";"2"
"4";"20";"1"
"4";"20";"2"
"4";"22";"1"
"4";"22";"2"
"4";"23";"1"
"4";"24";"1"
"4";"25";"1"
"4";"25";"2"
"4";"26";"1"
"4";"26";"2"
"4";"27";"1"
"4";"27";"2"
"4";"28";"1"
"4";"29";"1"
"4";"30";"1"
"4";"30";"2"
"4";"31";"1"
"4";"32";"1"
"4";"32";"2"
"4";"33";"1"
"4";"33";"2"
"4";"34";"1"
"4";"35";"1"
"4";"35";"2"
"4";"36";"1"
"4";"36";"2"
"4";"37";"1"
"4";"37";"2"
"4";"38";"1"
"4";"39";"1"
"4";"39";"2"
"4";"40";"1"
"4";"40";"2"
"4";"41";"1"
"4";"41";"2"
"4";"42";"1"
"4";"43";"1"
"4";"43";"2"
"4";"44";"1"
"4";"44";"2"
"4";"45";"1"
"4";"45";"2"
"4";"46";"1"
"4";"47";"1"
"4";"48";"1"
"4";"48";"2"
"4";"49";"1"
"4";"49";"2"
"4";"50";"1"
"4";"50";"2"
"4";"51";"1"
"4";"51";"2"
"4";"52";"1"
"4";"52";"2"
"4";"53";"1"
"4";"53";"2"
"4";"54";"1"
"4";"54";"2"
"4";"56";"1"
"4";"57";"1"
"4";"57";"2"
"4";"58";"1"
"4";"60";"1"
"4";"60";"2"
"4";"62";"1"
"4";"62";"2"
"4";"63";"1"
"4";"63";"2"
"4";"64";"1"
"4";"65";"1"
"4";"65";"2"
"4";"66";"1"
"4";"66";"2"
"4";"67";"1"
"4";"67";"2"
"4";"68";"1"
"4";"68";"2"
"4";"69";"1"
"4";"69";"2"
"4";"70";"1"
"4";"70";"2"
"4";"71";"1"
"4";"71";"2"
"4";"72";"1"
"4";"72";"2"
"4";"73";"1"
"4";"74";"1"
"4";"74";"2"
"4";"75";"1"
"4";"75";"2"
"4";"76";"1"
"4";"76";"2"
"4";"77";"1"
"4";"77";"2"
"4";"78";"1"
"4";"79";"1"
"4";"80";"1"
"4";"80";"2"
"4";"81";"1"
"4";"81";"2"
"4";"82";"1"
"4";"82";"2"
"4";"83";"1"
"4";"83";"2"
"4";"84";"1"
"4";"84";"2"
"4";"85";"1"
"4";"85";"2"
"4";"86";"1"
"4";"86";"2"
"4";"87";"1"
"4";"88";"1"
"4";"88";"2"
"4";"89";"1"
"4";"89";"2"
"4";"90";"1"
"4";"90";"2"
"4";"91";"1"
"4";"92";"1"
"4";"92";"2"
"4";"93";"1"
"4";"93";"2"
"4";"94";"1"
"4";"94";"2"
"4";"95";"1"
"4";"95";"2"
"4";"96";"1"
"4";"97";"1"
"4";"98";"1"
"4";"98";"2"
"4";"99";"1"
"4";"100";"1"
"4";"100";"2"
"4";"101";"1"
"4";"101";"2"
"4";"102";"1"
"4";"102";"2"
"4";"103";"1"
"4";"104";"1"
"4";"104";"2"
"4";"105";"1"
"4";"105";"2"
"4";"106";"1"
"4";"106";"2"
"4";"107";"1"
"4";"108";"1"
"4";"108";"2"
"4";"109";"1"
"4";"109";"2"
"4";"110";"1"
"4";"110";"2"
"4";"111";"1"
"4";"111";"2"
"4";"113";"1"
"4";"113";"2"
"4";"115";"1"
"4";"115";"2"
"4";"116";"1"
"4";"116";"2"
"4";"117";"1"
"4";"118";"1"
"4";"119";"1"
"4";"121";"1"
"4";"121";"2"
"4";"122";"1"
"4";"122";"2"
"4";"124";"1"
"4";"124";"2"
"4";"125";"1"
"4";"125";"2"
"4";"126";"1"
"4";"126";"2"
"4";"127";"1"
"4";"128";"2"
"4";"129";"2"
"4";"130";"2"
"4";"131";"2"
"4";"132";"2"
"4";"133";"2"
"4";"134";"2"
"4";"136";"2"
"4";"137";"2"
"4";"138";"2"
"4";"139";"2"
"4";"141";"2"
"4";"142";"2"
"4";"145";"2"
"4";"146";"2"
"4";"147";"2"
"5";"47";"1"
"5";"107";"1"
"5";"107";"2"
"5";"112";"1"
"5";"112";"2"
"6";"55";"1"
"6";"55";"2"
"6";"61";"1"
"6";"61";"2"
"6";"114";"1"
"6";"114";"2"
"6";"120";"1"
"6";"143";"2"
"7";"78";"1"
"7";"78";"2"
"7";"92";"1"
"7";"92";"2"
